Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
302370,,0.016418,0.0091069,0.014896,High,High,None,gfdl.cm3.1.rcp85
300920,,0.027582,0.01939,0.026821,Low,High,None,gfdl.cm3.1.rcp85
210440,,0,0.0022706,0.00052845,High,Low,None,gfdl.cm3.1.rcp85
217900,,0,0.002445,0.00072571,Low,Low,None,gfdl.cm3.1.rcp85
288130,,0.014318,0.0082811,0.013336,High,High,None,gfdl.cm3.1.rcp60
282550,,0.025402,0.015888,0.023912,Low,High,None,gfdl.cm3.1.rcp60
199370,,0,0.002249,0.00050635,High,Low,None,gfdl.cm3.1.rcp60
206900,,0,0.002419,0.0006943,Low,Low,None,gfdl.cm3.1.rcp60
301900,,0.025445,0.015945,0.023966,High,High,None,gfdl.cm3.1.rcp45
296970,,0.036548,0.20814,0.043013,Low,High,None,gfdl.cm3.1.rcp45
217330,,0,0.0024816,0.00077139,High,Low,None,gfdl.cm3.1.rcp45
208270,,0,0.0026906,0.0010582,Low,Low,None,gfdl.cm3.1.rcp45
300140,,0.021223,0.0118,0.019186,High,High,None,gfdl.cm3.1.rcp26
288130,,0.032292,0.037033,0.034375,Low,High,None,gfdl.cm3.1.rcp26
206940,,0,0.002395,0.00066579,High,Low,None,gfdl.cm3.1.rcp26
209530,,0,0.0025904,0.00091513,Low,Low,None,gfdl.cm3.1.rcp26
361500,,0.016542,0.0091609,0.014993,High,High,None,gfdl.esm2m.1.rcp85
357350,,0.02765,0.019525,0.026918,Low,High,None,gfdl.esm2m.1.rcp85
224140,,0,0.0023291,0.00059088,High,Low,None,gfdl.esm2m.1.rcp85
221710,,0,0.0025108,0.00080872,Low,Low,None,gfdl.esm2m.1.rcp85
290690,,0.01516,0.0085935,0.013941,High,High,None,gfdl.esm2m.1.rcp26
307670,,0.026157,0.016948,0.024882,Low,High,None,gfdl.esm2m.1.rcp26
207310,,0,0.0023086,0.00056857,High,Low,None,gfdl.esm2m.1.rcp26
216180,,0,0.0024875,0.00077885,Low,Low,None,gfdl.esm2m.1.rcp26
272980,,0.014628,0.0083934,0.013556,High,High,None,gfdl.esm2m.1.rcp45
307640,,0.025437,0.015933,0.023955,Low,High,None,gfdl.esm2m.1.rcp45
198520,,0,0.0022908,0.00054963,High,Low,None,gfdl.esm2m.1.rcp45
189940,,0,0.0024699,0.0007566,Low,Low,None,gfdl.esm2m.1.rcp45
283580,,0.010279,0.0070509,0.01078,High,High,None,gfdl.esm2m.1.rcp60
278620,,0.02116,0.011755,0.019123,Low,High,None,gfdl.esm2m.1.rcp60
189110,,0,0.0022065,0.00046438,High,Low,None,gfdl.esm2m.1.rcp60
190620,,0,0.0023705,0.00063746,Low,Low,None,gfdl.esm2m.1.rcp60
283250,,0.014283,0.0082684,0.013311,High,High,None,csiro.mk3.6.0.1.rcp85
318730,,0.02537,0.015845,0.02387,Low,High,None,csiro.mk3.6.0.1.rcp85
194220,,0,0.0022689,0.00052672,High,Low,None,csiro.mk3.6.0.1.rcp85
221690,,0,0.0024359,0.00071467,Low,Low,None,csiro.mk3.6.0.1.rcp85
299510,,0.011452,0.0073688,0.011467,High,High,None,csiro.mk3.6.0.1.rcp26
327260,,0.022677,0.01296,0.020713,Low,High,None,csiro.mk3.6.0.1.rcp26
206340,,0,0.0022239,0.00048135,High,Low,None,csiro.mk3.6.0.1.rcp26
197280,,0,0.00239,0.00065991,Low,Low,None,csiro.mk3.6.0.1.rcp26
328230,,0.015282,0.0086407,0.014031,High,High,None,csiro.mk3.6.0.1.rcp45
297340,,0.026287,0.017145,0.025053,Low,High,None,csiro.mk3.6.0.1.rcp45
199170,,0,0.0022787,0.00053689,High,Low,None,csiro.mk3.6.0.1.rcp45
213860,,0,0.0024532,0.00073588,Low,Low,None,csiro.mk3.6.0.1.rcp45
269990,,0.0083222,0.0065775,0.0097241,High,High,None,csiro.mk3.6.0.1.rcp60
276680,,0.019184,0.010485,0.017233,Low,High,None,csiro.mk3.6.0.1.rcp60
192240,,0,0.0021811,0.00044031,High,Low,None,csiro.mk3.6.0.1.rcp60
194720,,0,0.0023397,0.0006026,Low,Low,None,csiro.mk3.6.0.1.rcp60
298390,,0.017051,0.0093894,0.015401,High,High,None,hadgem2.es.1.rcp85
292070,,0.028273,0.020848,0.027816,Low,High,None,hadgem2.es.1.rcp85
199660,,0,0.0022976,0.00055687,High,Low,None,hadgem2.es.1.rcp85
215250,,0,0.0024754,0.00076349,Low,Low,None,hadgem2.es.1.rcp85
295040,,0.016971,0.0093527,0.015336,High,High,None,hadgem2.es.1.rcp60
296860,,0.028147,0.020565,0.027631,Low,High,None,hadgem2.es.1.rcp60
197440,,0,0.0023151,0.00057565,High,Low,None,hadgem2.es.1.rcp60
199830,,0,0.0024977,0.00079183,Low,Low,None,hadgem2.es.1.rcp60
289880,,0.015082,0.0085635,0.013883,High,High,None,hadgem2.es.1.rcp45
279740,,0.026215,0.017035,0.024958,Low,High,None,hadgem2.es.1.rcp45
193540,,0,0.0022805,0.00053881,High,Low,None,hadgem2.es.1.rcp45
204420,,0,0.0024563,0.00073968,Low,Low,None,hadgem2.es.1.rcp45
293660,,0.014542,0.008362,0.013495,High,High,None,hadgem2.es.1.rcp26
288870,,0.02528,0.015728,0.023758,Low,High,None,hadgem2.es.1.rcp26
203330,,0,0.0022653,0.00052304,High,Low,None,hadgem2.es.1.rcp26
197060,,0,0.0024385,0.0007178,Low,Low,None,hadgem2.es.1.rcp26
313770,,0.023546,0.01377,0.021684,High,High,None,miroc.esm.chem.1.rcp85
321330,,0.034603,0.066886,0.038824,Low,High,None,miroc.esm.chem.1.rcp85
215790,,0,0.0024313,0.00070901,High,Low,None,miroc.esm.chem.1.rcp85
210790,,0,0.0026321,0.00097342,Low,Low,None,miroc.esm.chem.1.rcp85
298060,,0.020413,0.01124,0.018385,High,High,None,miroc.esm.chem.1.rcp60
318330,,0.031338,0.031268,0.032689,Low,High,None,miroc.esm.chem.1.rcp60
210420,,0,0.0023825,0.00065118,High,Low,None,miroc.esm.chem.1.rcp60
219260,,0,0.0025762,0.00089562,Low,Low,None,miroc.esm.chem.1.rcp60
284900,,0.016986,0.0093595,0.015348,High,High,None,miroc.esm.chem.1.rcp45
284070,,0.028066,0.020388,0.027513,Low,High,None,miroc.esm.chem.1.rcp45
202900,,0,0.0023094,0.00056942,High,Low,None,miroc.esm.chem.1.rcp45
198100,,0,0.0024917,0.00078415,Low,Low,None,miroc.esm.chem.1.rcp45
289060,,0.013365,0.0079536,0.012683,High,High,None,miroc.esm.chem.1.rcp26
301130,,0.024521,0.014807,0.022827,Low,High,None,miroc.esm.chem.1.rcp26
196950,,0,0.0022381,0.00049544,High,Low,None,miroc.esm.chem.1.rcp26
