Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
556100,,0.017409,0.011019,0.017016,High,High,None,gfdl.cm3.1.rcp85
614700,,0.027663,0.021294,0.025596,Low,High,None,gfdl.cm3.1.rcp85
381010,,0,0.0020652,0.00043412,High,Low,None,gfdl.cm3.1.rcp85
350590,,0,0.0021861,0.00055723,Low,Low,None,gfdl.cm3.1.rcp85
575160,,0.014571,0.0097208,0.015198,High,High,None,gfdl.cm3.1.rcp60
531090,,0.025828,0.018249,0.023793,Low,High,None,gfdl.cm3.1.rcp60
327940,,0,0.0020542,0.00042373,High,Low,None,gfdl.cm3.1.rcp60
386020,,0,0.0021589,0.00052805,Low,Low,None,gfdl.cm3.1.rcp60
572140,,0.025966,0.018447,0.023924,High,High,None,gfdl.cm3.1.rcp45
560610,,0.037159,0.1561,0.037359,Low,High,None,gfdl.cm3.1.rcp45
356880,,0,0.0022047,0.00057764,High,Low,None,gfdl.cm3.1.rcp45
391440,,0,0.0023326,0.00072836,Low,Low,None,gfdl.cm3.1.rcp45
577330,,0.021572,0.013704,0.020084,High,High,None,gfdl.cm3.1.rcp26
580500,,0.032277,0.036685,0.030758,Low,High,None,gfdl.cm3.1.rcp26
334630,,0,0.0021512,0.00051995,High,Low,None,gfdl.cm3.1.rcp26
394710,,0,0.002268,0.00065004,Low,Low,None,gfdl.cm3.1.rcp26
551120,,0.016618,0.010624,0.016488,High,High,None,gfdl.esm2m.1.rcp85
520040,,0.02769,0.021347,0.025624,Low,High,None,gfdl.esm2m.1.rcp85
364320,,0,0.0021008,0.00046862,High,Low,None,gfdl.esm2m.1.rcp85
364440,,0,0.0022159,0.00059016,Low,Low,None,gfdl.esm2m.1.rcp85
552490,,0.014857,0.0098377,0.015372,High,High,None,gfdl.esm2m.1.rcp26
521150,,0.025833,0.018255,0.023797,Low,High,None,gfdl.esm2m.1.rcp26
317580,,0,0.0020837,0.00045187,High,Low,None,gfdl.esm2m.1.rcp26
330390,,0,0.002197,0.00056915,Low,Low,None,gfdl.esm2m.1.rcp26
499880,,0.014523,0.0097015,0.015169,High,High,None,gfdl.esm2m.1.rcp45
594280,,0.024827,0.016928,0.022863,Low,High,None,gfdl.esm2m.1.rcp45
392970,,0,0.0020761,0.00044452,High,Low,None,gfdl.esm2m.1.rcp45
355780,,0,0.0021863,0.0005574,Low,Low,None,gfdl.esm2m.1.rcp45
541620,,0.0098877,0.0081386,0.012612,High,High,None,gfdl.esm2m.1.rcp60
552290,,0.020225,0.012702,0.019035,Low,High,None,gfdl.esm2m.1.rcp60
361990,,0,0.0020159,0.00038872,High,Low,None,gfdl.esm2m.1.rcp60
361440,,0,0.0021226,0.00049049,Low,Low,None,gfdl.esm2m.1.rcp60
546540,,0.014286,0.0096072,0.015026,High,High,None,csiro.mk3.6.0.1.rcp85
626290,,0.025006,0.017151,0.023027,Low,High,None,csiro.mk3.6.0.1.rcp85
363830,,0,0.0020564,0.00042585,High,Low,None,csiro.mk3.6.0.1.rcp85
350630,,0,0.0021748,0.00054503,Low,Low,None,csiro.mk3.6.0.1.rcp85
568100,,0.011776,0.0087101,0.013597,High,High,None,csiro.mk3.6.0.1.rcp26
525370,,0.021477,0.013628,0.020008,Low,High,None,csiro.mk3.6.0.1.rcp26
339920,,0,0.0020279,0.00039953,High,Low,None,csiro.mk3.6.0.1.rcp26
335180,,0,0.0021386,0.00050683,Low,Low,None,csiro.mk3.6.0.1.rcp26
517750,,0.015432,0.010081,0.015728,High,High,None,csiro.mk3.6.0.1.rcp45
536340,,0.027149,0.020344,0.025078,Low,High,None,csiro.mk3.6.0.1.rcp45
358690,,0,0.0020696,0.00043825,High,Low,None,csiro.mk3.6.0.1.rcp45
342830,,0,0.0021838,0.00055471,Low,Low,None,csiro.mk3.6.0.1.rcp45
463310,,0.0083677,0.0077302,0.011872,High,High,None,csiro.mk3.6.0.1.rcp60
570510,,0.018312,0.011508,0.017639,Low,High,None,csiro.mk3.6.0.1.rcp60
333270,,0,0.0019994,0.00037415,High,Low,None,csiro.mk3.6.0.1.rcp60
357420,,0,0.002098,0.00046584,Low,Low,None,csiro.mk3.6.0.1.rcp60
513180,,0.018193,0.011441,0.017556,High,High,None,hadgem2.es.1.rcp85
530150,,0.028421,0.02287,0.02638,Low,High,None,hadgem2.es.1.rcp85
331440,,0,0.0020885,0.00045656,High,Low,None,hadgem2.es.1.rcp85
387950,,0,0.0021951,0.00056711,Low,Low,None,hadgem2.es.1.rcp85
513530,,0.017039,0.010831,0.016767,High,High,None,hadgem2.es.1.rcp60
538340,,0.027704,0.021374,0.025638,Low,High,None,hadgem2.es.1.rcp60
320080,,0,0.002092,0.00046,High,Low,None,hadgem2.es.1.rcp60
374380,,0,0.0022012,0.00057376,Low,Low,None,hadgem2.es.1.rcp60
509160,,0.015131,0.0099522,0.01554,High,High,None,hadgem2.es.1.rcp45
571920,,0.025406,0.017668,0.023397,Low,High,None,hadgem2.es.1.rcp45
361360,,0,0.0020643,0.00043324,High,Low,None,hadgem2.es.1.rcp45
371000,,0,0.0021755,0.00054577,Low,Low,None,hadgem2.es.1.rcp45
535020,,0.014688,0.0097683,0.015269,High,High,None,hadgem2.es.1.rcp26
499410,,0.02573,0.018111,0.0237,Low,High,None,hadgem2.es.1.rcp26
361360,,0,0.0020624,0.00043147,High,Low,None,hadgem2.es.1.rcp26
358160,,0,0.0021749,0.00054509,Low,Low,None,hadgem2.es.1.rcp26
506050,,0.024928,0.017053,0.022955,High,High,None,miroc.esm.chem.1.rcp85
586880,,0.035158,0.066884,0.034498,Low,High,None,miroc.esm.chem.1.rcp85
395470,,0,0.0021714,0.00054142,High,Low,None,miroc.esm.chem.1.rcp85
331410,,0,0.0023075,0.00069738,Low,Low,None,miroc.esm.chem.1.rcp85
507240,,0.021126,0.013355,0.01973,High,High,None,miroc.esm.chem.1.rcp60
575670,,0.031174,0.03128,0.029436,Low,High,None,miroc.esm.chem.1.rcp60
356150,,0,0.0021408,0.00050918,High,Low,None,miroc.esm.chem.1.rcp60
394320,,0,0.0022559,0.00063582,Low,Low,None,miroc.esm.chem.1.rcp60
569890,,0.017548,0.011091,0.01711,High,High,None,miroc.esm.chem.1.rcp45
529050,,0.027956,0.021877,0.025897,Low,High,None,miroc.esm.chem.1.rcp45
364660,,0,0.0020931,0.00046103,High,Low,None,miroc.esm.chem.1.rcp45
361740,,0,0.0022088,0.00058218,Low,Low,None,miroc.esm.chem.1.rcp45
557210,,0.013196,0.0091961,0.014388,High,High,None,miroc.esm.chem.1.rcp26
529830,,0.024603,0.016658,0.02266,Low,High,None,miroc.esm.chem.1.rcp26
346490,,0,0.0020427,0.00041303,High,Low,None,miroc.esm.chem.1.rcp26
345530,,0,0.0021532,0.00052209,Low,Low,None,miroc.esm.chem.1.rcp26
524350,,0.0168,0.010712,0.016608,High,High,None,miroc5.1.rcp85
532110,,0.027548,0.021074,0.02548,Low,High,None,miroc5.1.rcp85
369980,,0,0.002082,0.00045019,High,Low,None,miroc5.1.rcp85
336060,,0,0.0021991,0.00057149,Low,Low,None,miroc5.1.rcp85
513700,,0.0066059,0.0073053,0.011067,High,High,None,miroc5.1.rcp60
510210,,0.017996,0.011332,0.017418,Low,High,None,miroc5.1.rcp60
336510,,0,0.0019753,0.00035347,High,Low,None,miroc5.1.rcp60
343510,,0,0.0020777,0.00044608,Low,Low,None,miroc5.1.rcp60
587560,,0.01422,0.0095812,0.014987,High,High,None,miroc5.1.rcp45
543070,,0.024329,0.01634,0.022415,Low,High,None,miroc5.1.rcp45
346500,,0,0.0020547,0.00042423,High,Low,None,miroc5.1.rcp45
332630,,0,0.0021657,0.00053526,Low,Low,None,miroc5.1.rcp45
567760,,0.0079648,0.0076287,0.011683,High,High,None,miroc5.1.rcp26
569820,,0.018686,0.011724,0.017904,Low,High,None,miroc5.1.rcp26
337600,,0,0.0019975,0.00037251,High,Low,None,miroc5.1.rcp26
310500,,0,0.0021001,0.00046793,Low,Low,None,miroc5.1.rcp26
408560,,0.016852,0.010672,0.016565,High,High,WWTP,gfdl.cm3.1.rcp85
441500,,0.028065,0.021966,0.025877,Low,High,WWTP,gfdl.cm3.1.rcp85
324100,,0,0.0020536,0.00043434,High,Low,WWTP,gfdl.cm3.1.rcp85
324090,,0,0.0021722,0.00055551,Low,Low,WWTP,gfdl.cm3.1.rcp85
393540,,0.014615,0.0096795,0.015155,High,High,WWTP,gfdl.cm3.1.rcp60
