Shortage,Supply,Population,Infrastructure,Model
556100,High,High,None,csiro-mk3-6-0.1.rcp26
614700,Low,High,None,csiro-mk3-6-0.1.rcp27
381010,High,Low,None,csiro-mk3-6-0.1.rcp28
350590,Low,Low,None,csiro-mk3-6-0.1.rcp29
575160,High,High,None,csiro-mk3-6-0.1.rcp45
531090,Low,High,None,csiro-mk3-6-0.1.rcp46
327940,High,Low,None,csiro-mk3-6-0.1.rcp47
386020,Low,Low,None,csiro-mk3-6-0.1.rcp48
572140,High,High,None,csiro-mk3-6-0.1.rcp60
560610,Low,High,None,csiro-mk3-6-0.1.rcp61
356880,High,Low,None,csiro-mk3-6-0.1.rcp62
391440,Low,Low,None,csiro-mk3-6-0.1.rcp63
577330,High,High,None,csiro-mk3-6-0.1.rcp85
580500,Low,High,None,csiro-mk3-6-0.1.rcp86
334630,High,Low,None,csiro-mk3-6-0.1.rcp87
394710,Low,Low,None,csiro-mk3-6-0.1.rcp88
551120,High,High,None,gfdl-cm3.1.rcp26
520040,Low,High,None,gfdl-cm3.1.rcp27
364320,High,Low,None,gfdl-cm3.1.rcp28
364440,Low,Low,None,gfdl-cm3.1.rcp29
552490,High,High,None,gfdl-cm3.1.rcp45
521150,Low,High,None,gfdl-cm3.1.rcp46
317580,High,Low,None,gfdl-cm3.1.rcp47
330390,Low,Low,None,gfdl-cm3.1.rcp48
499880,High,High,None,gfdl-cm3.1.rcp60
594280,Low,High,None,gfdl-cm3.1.rcp61
392970,High,Low,None,gfdl-cm3.1.rcp62
355780,Low,Low,None,gfdl-cm3.1.rcp63
541620,High,High,None,gfdl-cm3.1.rcp85
552290,Low,High,None,gfdl-cm3.1.rcp86
361990,High,Low,None,gfdl-cm3.1.rcp87
361440,Low,Low,None,gfdl-cm3.1.rcp88
546540,High,High,None,gfdl-esm2m.1.rcp26
626290,Low,High,None,gfdl-esm2m.1.rcp27
363830,High,Low,None,gfdl-esm2m.1.rcp28
350630,Low,Low,None,gfdl-esm2m.1.rcp29
568100,High,High,None,gfdl-esm2m.1.rcp45
525370,Low,High,None,gfdl-esm2m.1.rcp46
339920,High,Low,None,gfdl-esm2m.1.rcp47
335180,Low,Low,None,gfdl-esm2m.1.rcp48
517750,High,High,None,gfdl-esm2m.1.rcp60
536340,Low,High,None,gfdl-esm2m.1.rcp61
358690,High,Low,None,gfdl-esm2m.1.rcp62
342830,Low,Low,None,gfdl-esm2m.1.rcp63
463310,High,High,None,gfdl-esm2m.1.rcp85
570510,Low,High,None,gfdl-esm2m.1.rcp86
333270,High,Low,None,gfdl-esm2m.1.rcp87
357420,Low,Low,None,gfdl-esm2m.1.rcp88
513180,High,High,None,hadgem2-es.1.rcp26
530150,Low,High,None,hadgem2-es.1.rcp27
331440,High,Low,None,hadgem2-es.1.rcp28
387950,Low,Low,None,hadgem2-es.1.rcp29
513530,High,High,None,hadgem2-es.1.rcp45
538340,Low,High,None,hadgem2-es.1.rcp46
320080,High,Low,None,hadgem2-es.1.rcp47
374380,Low,Low,None,hadgem2-es.1.rcp48
509160,High,High,None,hadgem2-es.1.rcp60
571920,Low,High,None,hadgem2-es.1.rcp61
361360,High,Low,None,hadgem2-es.1.rcp62
371000,Low,Low,None,hadgem2-es.1.rcp63
535020,High,High,None,hadgem2-es.1.rcp85
499410,Low,High,None,hadgem2-es.1.rcp86
361360,High,Low,None,hadgem2-es.1.rcp87
358160,Low,Low,None,hadgem2-es.1.rcp88
506050,High,High,None,miroc-esm-chem.1.rcp26
586880,Low,High,None,miroc-esm-chem.1.rcp27
395470,High,Low,None,miroc-esm-chem.1.rcp28
331410,Low,Low,None,miroc-esm-chem.1.rcp29
